太鼓WIKI（日）,https://wikiwiki.jp/taiko-fumen/,日本玩家搭建的wiki，数据全面历史悠久,wiki.png,1
太鼓WIKI（韩）,https://wikiwiki.jp/taiko-fumen/,韩国玩家搭建的wiki，数据全面历史悠久,wiki_ko.png,1
葉月ゆら主页,https://hatukiyura.sakura.ne.jp/,叶月由罗的个人主页，可以查询到其往年作品和活动日程,yura.jpg,1
Rating系统,https://v2.rating.ourtaiko.org/v2test,国内玩家开发的成绩评分系统,0.png,2
Database定数表,https://fumen-database.com/difficulty/?const_desc,,wiki.png,2
Donder查分器,https://prober.ourtaiko.org/search,,luluxia.png,2
TaikoNauts,https://seesaawiki.jp/taikonauts/,,TaikoNauts.ico,3
OpenTaiko,https://opentaiko.github.io/,,OpenTaiko.ico,3
ESE TJA,https://ese.tjadataba.se/ESE/ESE/,,ese.png,3
ESE Helper,https://taiko.vanillaaaa.org/,,ese.png,3
PeepoDrumKit,https://wwaya.lanzoup.com/iHj8b3e7ooyh,可视化的谱面编辑，让小白也能迅速创建自己的太鼓谱面,PeepoDrumKit.ico,3
TaikoWeb,https://taiko.asia/,太鼓达人在线模拟器,taikoweb.png,3
歌曲检索器,https://olaf5103.cn:765/taiko/songs,,0.png,4
Donder Asistant,https://dafrok.github.io/donder-assistant/analysis,,0.png,4
Tja-Tools,https://whmhammer.github.io/tja-tools/,可以将tja文件转化为静态谱面图,0.png,4
Tja Analyser,https://tjaanalyzer-ja.ckq.me/,,0.png,4
TaikoImager,https://doveonz.github.io/Taiko-no-Tatsujin-Imager/,可以获得还原官方视觉效果的谱面片段或谱面图，支持各种演奏选项,0.png,4
AI定数预测,https://tjapre.haxif.com/,让AI对你创作的谱面进行难度的初步评估,0.png,4
猫鼓的小店,https://m.tb.cn/h.8ceeLYiw0FAY9K7,,cat.png,5
Power的小店,https://m.tb.cn/h.8Yfnk26SrA8pUqZ,,power.png,5
菌菌控制台,https://kinoko.zorua.cn/,菌菌控制台！可以管理自己的成绩以及使用菌菌的多项隐藏功能！,junjun.png,6
Sakura Bot,https://viewer.sakura-bot.cn/,,0.png,6
